Company Name,RevGrp,Site_ID,B2BorC,InOrOut,StoreVehicleHome,EmployeeCount,PartSeasonalOrFullTime,ProductSalesOrServices,WorkSchedule,VeteranFriendly,ZorProvideLeads
Go Telecare,3 Top25Percent,Site_4,1 Only B2B,1 Only indoors,5 Work from home,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Golden Heart Senior Care,3 Top25Percent,Site_3,5 Only B2C,1 Only indoors,4 Home or vehicle location,5 Fifty+ Employees,1 Full-time,5 Perform services,3 Six days/nights,2 Mild preference for vets,3 Some by Prospect and Franchise
GoliathTech,3 Top25Percent,Site_3,4 Mostly B2C,5 Only outdoors,3 Vehicle location,3 Ten to Nineteen Employees,3 Part-time,3 Prepare and serve food,3 Six days/nights,3 Preference for hiring vets,3 Some by Prospect and Franchise
Got Produce?,5-Bottom50Percent,Site_0,3 Both,2 Mostly in,2 Store or Vehicle location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,2 Six days,1 Not a factor for me,2 Mostly by Prospect
Granite Transformations,5-Bottom50Percent,Site_2,3 Both,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,2 Mostly by Prospect
"Great Clips, Inc.",4 Top50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,4 Mostly perform services,4 Seven days,1 Not a factor for me,"NA"
"Great Steak & Potato Company, The",4 Top50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,1 Sell merchandise,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
Green Building Advisors,5-Bottom50Percent,Site_2,1 Only B2B,1 Only indoors,5 Work from home,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Grip N Shine,4 Top50Percent,Site_2,5 Only B2C,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,2 Almost full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,2 Mostly by Prospect
Griswold Special Care,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,2 Store or Vehicle location,4 Twenty to Forty-nine Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,3 Some by Prospect and Franchise
"Grounds Guys, The",4 Top50Percent,Site_4,4 Mostly B2C,3 Even,4 Home or vehicle location,4 Twenty to Forty-nine Employees,4 Semi-seasonal,4 Mostly perform services,4 Seven days,4 Favorable lending to vets,4 Mostly by Franchise
Growth Coach,4 Top50Percent,Site_2,1 Only B2B,1 Only indoors,4 Home or vehicle location,0 Just myself,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,2 Mostly by Prospect
Guidant Financial Group,2 Top10Percent,Site_3,5 Only B2C,1 Only indoors,5 Work from home,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,3 Some by Prospect and Franchise
GymGuyz,5-Bottom50Percent,Site_2,5 Only B2C,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,3 Part-time,5 Perform services,2 Six days,2 Mild preference for vets,3 Some by Prospect and Franchise
Hand and Stone,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,3 Some by Prospect and Franchise
Handyman Connection,4 Top50Percent,Site_3,5 Only B2C,3 Even,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,3 Some by Prospect and Franchise
HandyPro,5-Bottom50Percent,Site_2,4 Mostly B2C,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Hang Up Garment Covers,3 Top25Percent,Site_2,1 Only B2B,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,1 Sell merchandise,1 Nine-to-Five on weekdays,1 Not a factor for me,3 Some by Prospect and Franchise
Hapa Yoga,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,1 All by Prospect
Health Source Chiropractic,4 Top50Percent,Site_3,1 Only B2B,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,2 Mostly by Prospect
Healthier4UVending,4 Top50Percent,Site_2,5 Only B2C,3 Even,4 Home or vehicle location,1 One to Four Employees,3 Part-time,1 Sell merchandise,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
Heart Certified Auto Care,5-Bottom50Percent,Site_2,5 Only B2C,2 Mostly in,1 Store retail location,2 Five to Nine Employees,1 Full-time,4 Mostly perform services,"NA",1 Not a factor for me,"NA"
HeathlyYou Vending f/k/a 1800 Vending,1 Top5Percent,Site_2,5 Only B2C,3 Even,4 Home or vehicle location,1 One to Four Employees,3 Part-time,1 Sell merchandise,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
Home Care Assistance,4 Top50Percent,Site_3,5 Only B2C,1 Only indoors,4 Home or vehicle location,5 Fifty+ Employees,1 Full-time,5 Perform services,3 Six days/nights,2 Mild preference for vets,3 Some by Prospect and Franchise
"Home Cleaning Centers of America, Inc.",5-Bottom50Percent,Site_3,5 Only B2C,2 Mostly in,2 Store or Vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,2 Mostly by Prospect
Home Helpers Franchising Systems Inc.,1 Top5Percent,Site_4,5 Only B2C,1 Only indoors,4 Home or vehicle location,5 Fifty+ Employees,1 Full-time,5 Perform services,3 Six days/nights,2 Mild preference for vets,3 Some by Prospect and Franchise
Home Instead Senior Care,3 Top25Percent,Site_4,5 Only B2C,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,1 Sell merchandise,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
HomeVestors,1 Top5Percent,Site_3,5 Only B2C,3 Even,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,3 Some by Prospect and Franchise
Homewatch CareGivers,4 Top50Percent,Site_3,5 Only B2C,1 Only indoors,4 Home or vehicle location,5 Fifty+ Employees,1 Full-time,5 Perform services,3 Six days/nights,2 Mild preference for vets,3 Some by Prospect and Franchise
Honest 1 - Auto Care,5-Bottom50Percent,Site_3,4 Mostly B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Honest Abe Roofing,5-Bottom50Percent,Site_2,3 Both,5 Only outdoors,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Honey Do Service,5-Bottom50Percent,Site_2,4 Mostly B2C,3 Even,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Hotel Key Kaddy,2 Top10Percent,Site_2,1 Only B2B,1 Only indoors,5 Work from home,1 One to Four Employees,1 Full-time,2 Some merchandise sales,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
Housemaster,5-Bottom50Percent,Site_2,4 Mostly B2C,3 Even,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,3 Some by Prospect and Franchise
Huddle House,3 Top25Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,1 Sell merchandise,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
Huntington Learning Centers,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,1 Sell merchandise,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
ICENY,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,"NA"
Image360,5-Bottom50Percent,Site_2,2 Mostly B2B,3 Even,2 Store or Vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,2 Mostly by Prospect
Infinity Health Advisors,4 Top50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
Inspect-It 1st Property Inspection,4 Top50Percent,Site_2,4 Mostly B2C,4 Mostly out,4 Home or vehicle location,3 Ten to Nineteen Employees,3 Part-time,3 Prepare and serve food,3 Six days/nights,3 Preference for hiring vets,3 Some by Prospect and Franchise
InstaHealthy,3 Top25Percent,Site_3,3 Both,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,1 Sell merchandise,4 Seven days,1 Not a factor for me,"NA"
Interface Financial,5-Bottom50Percent,Site_2,1 Only B2B,1 Only indoors,5 Work from home,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
INTERIM HEALTHCARE,5-Bottom50Percent,Site_2,5 Only B2C,2 Mostly in,2 Store or Vehicle location,4 Twenty to Forty-nine Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,2 Mostly by Prospect
InXpress,5-Bottom50Percent,Site_3,1 Only B2B,1 Only indoors,5 Work from home,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Jiffy Lube International,4 Top50Percent,Site_2,5 Only B2C,2 Mostly in,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,4 Mostly perform services,4 Seven days,1 Not a factor for me,"NA"
Jimmy John`s Gourmet Sandwiches,1 Top5Percent,Site_4,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,3 Prepare and serve food,4 Seven days,2 Mild preference for vets,3 Some by Prospect and Franchise
Jon Smith Subs,5-Bottom50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
KarmaBox Vending,5-Bottom50Percent,Site_2,5 Only B2C,3 Even,4 Home or vehicle location,0 Just myself,3 Part-time,1 Sell merchandise,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
Kidcreate Studio,5-Bottom50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,2 Some merchandise sales,2 Six days,1 Not a factor for me,"NA"
"Kiddie Academy International, Inc.",1 Top5Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,2 Mostly by Prospect
Kitchen Solvers,4 Top50Percent,Site_2,4 Mostly B2C,1 Only indoors,2 Store or Vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,3 Some by Prospect and Franchise
Kitchen Tune-Up,5-Bottom50Percent,Site_3,4 Mostly B2C,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,3 Some by Prospect and Franchise
Kono Pizza,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,2 Mostly by Prospect
Kono Pizza Canada,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,2 Mostly by Prospect
Krave Kobe Burger,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,2 Mostly by Prospect
Kumon Math & Reading Centers,4 Top50Percent,Site_4,5 Only B2C,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,1 Sell merchandise,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
Launch Trampoline Park,5-Bottom50Percent,Site_2,4 Mostly B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,2 Mostly by Prospect
Lawn Doctor,5-Bottom50Percent,Site_3,5 Only B2C,5 Only outdoors,3 Vehicle location,3 Ten to Nineteen Employees,3 Part-time,3 Prepare and serve food,3 Six days/nights,3 Preference for hiring vets,3 Some by Prospect and Franchise
Le Macaron French Pastries,5-Bottom50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,4 Seven days,1 Not a factor for me,"NA"
Lee's Hoagie House,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
